# 846 карточек игроков, заведённых 03.09.2026 сборщиком составов
# (docs/clubs_squads_wikidata.py --create-cards). В проде они лежат
# с active = false: голые, без фото, страны, описания и славы.
#
# ⚠️ QID ХРАНИТСЯ ЗДЕСЬ, ПОТОМУ ЧТО В cards ЕГО КОЛОНКИ НЕТ. Без него
# просмотры этим карточкам придётся искать резолвом по имени, а он
# промахивается молча: замер на первых четырёх карточках очереди —
# «Гарри Невилл», «Хын Мин Сон», «Расмус Хёйлунн», «Скотт МакТоминэй»
# — 4 из 4 не найдены. Отсюда и файл: угадывать нечего, имя ВЗЯТО
# из Викиданных, и вот сущность, откуда оно взято.
#
# card_id	name_ru	name_en	qid
bf814910-72ed-42d8-80ee-767df0fe1ac1	Симон Банза	Simon Banza	Q23887828
00164ebb-bc52-4f08-ad54-78e40d10a12f	Денис Дрэгуш	Denis Drăguș	Q40126643
f8632e04-bd8d-48cf-b77d-f37c0303896a	Джихан Чанак	Cihan Çanak	Q110278175
68f16e35-58d2-4d3a-8852-afff0c3ed21b	Diana Msewa	Diana Msewa	Q85986996
3ee34640-b0b7-4a66-a5d7-9114b2548dcc	Тим Жаболь-Фолькарелли	Tim Jabol-Folcarelli	Q121494430
a127bd9b-d552-4d59-8e99-3958507b9efd	Франкулину Джу	Franculino Djú	Q121549217
e5aa8269-0a00-4b0e-8a98-6eef754e94df	Самет Акайдын	Samet Akaydın	Q69512938
90ada87e-f8ed-4f4f-a34a-455a3428357e	Сенне Ламменс	Senne Lammens	Q98100512
42ecbcd7-0a40-460d-8679-5919908214dc	Godwill Kukonki	Godwill Kukonki	Q131395534
389e8f4c-4cb8-44f8-8a22-ebb5f24848f8	Карлос Балеба	Carlos Baleba	Q113472432
6e0a9c2a-cac8-4272-9029-16081a934d45	Чидо Оби-Мартин	Chido Obi	Q123485961
e010b5de-ce7e-4a83-bafe-13d75bf5af3a	Эванн Гессан	Evann Guessand	Q98593672
0fbb8c62-1d2f-44ff-9663-1233fabd1c1f	Маттео Руджери	Matteo Ruggeri	Q97365426
67ca302b-0d58-47cb-a23a-a60210f570b8	Флетчер Бойд	Fletcher Boyd	Q125918322
8b957f59-efb4-4c91-ade9-5b983ddaee02	Ибраим Мбайе	Ibrahim Mbaye	Q129088593
e9d91213-7014-45a8-8561-c64ba4c570ab	Артюр Теате	Arthur Theate	Q97724521
e7bb1b38-0b43-48b9-8c1d-fe22c86e3364	Мартин Витик	Martin Vitík	Q100740623
98c53445-3c82-4b28-9be4-505857744c60	Уссама Эль-Аззузи	Oussama El Azzouzi	Q108024285
8c5a13e6-8c97-44a8-bc15-0957767ed880	Виктор Кристиансен	Victor Kristiansen	Q104773462
587f8833-fcd1-4533-bdf1-43a74040cc85	Сэмюэль Мбангюла	Samuel Mbangula	Q105955422
ac2644d9-88ad-4d61-808e-c9a3a424223d	Артём Довбик	Artem Dovbyk	Q20066885
84444702-cbd4-4251-9f15-cb647346a8a9	Megan Borthwick	Megan Borthwick	Q97758147
008774bc-6966-49b8-999e-d4454e76b81b	Тимоте Пембеле	Timothée Pembélé	Q74047936
